update,total_steps,FPS,mean_reward,median_reward,min_reward,max_reward
1,5,10,nan,nan,nan,nan
1,5,16,nan,nan,nan,nan
1,5,10,nan,nan,nan,nan
1,5,10,nan,nan,nan,nan
1,5,11,nan,nan,nan,nan
1,5,10,nan,nan,nan,nan
1,5,8,nan,nan,nan,nan
2,505,19,-1.0,-1.0,-1,-1
1,5,10,nan,nan,nan,nan
1,5,12,nan,nan,nan,nan
1,5,9,nan,nan,nan,nan
1,5,9,nan,nan,nan,nan
1,5,15,nan,nan,nan,nan
1,5,16,nan,nan,nan,nan
1,5,9,nan,nan,nan,nan
1,5,6,nan,nan,nan,nan
1,5,9,nan,nan,nan,nan
1,5,15,nan,nan,nan,nan
2,505,17,-1.0,-1.0,-1,-1
3,1005,16,-1.0,-1.0,-1.0,-1.0
4,1505,15,-1.0,-1.0,-1.0,-1.0
1,5,13,nan,nan,nan,nan
2,505,14,-1.0,-1.0,-1.0,-1.0
3,1005,14,-0.9333333333333333,-1.0,-1.0,1.0
1,5,14,nan,nan,nan,nan
2,505,15,-1.0,-1.0,-1.0,-1.0
3,1005,15,-1.0,-1.0,-1.0,-1.0
4,1505,16,-1.0,-1.0,-1.0,-1.0
5,2005,14,-1.0,-1.0,-1.0,-1.0
6,2505,14,-1.0,-1.0,-1.0,-1.0
7,3005,14,-1.0,-1.0,-1.0,-1.0
8,3505,15,-1.0,-1.0,-1.0,-1.0
9,4005,15,-1.0,-1.0,-1.0,-1.0
10,4505,15,-1.0,-1.0,-1.0,-1.0
11,5005,15,-1.0,-1.0,-1.0,-1.0
12,5505,15,-1.0,-1.0,-1.0,-1.0
13,6005,15,-1.0,-1.0,-1.0,-1.0
14,6505,15,-1.0,-1.0,-1.0,-1.0
15,7005,16,-1.0,-1.0,-1.0,-1.0
16,7505,16,-1.0,-1.0,-1.0,-1.0
17,8005,16,-1.0,-1.0,-1.0,-1.0
18,8505,16,-1.0,-1.0,-1.0,-1.0
19,9005,16,-1.0,-1.0,-1.0,-1.0
20,9505,16,-1.0,-1.0,-1.0,-1.0
21,10000,16,-1.0,-1.0,-1.0,-1.0
1,5,8,nan,nan,nan,nan
1,5,12,nan,nan,nan,nan
1,5,13,nan,nan,nan,nan
2,10,10,-1.0,-1.0,-1,-1
1,5,14,nan,nan,nan,nan
2,10,13,nan,nan,nan,nan
3,5,15,nan,nan,nan,nan
4,10,16,nan,nan,nan,nan
1,5,11,nan,nan,nan,nan
2,10,13,nan,nan,nan,nan
1,5,12,nan,nan,nan,nan
2,10,14,nan,nan,nan,nan
3,5,17,nan,nan,nan,nan
4,10,17,nan,nan,nan,nan
5,5,11,-1.0,-1.0,-1,-1
6,10,14,-1.0,-1.0,-1,-1
7,5,17,nan,nan,nan,nan
8,10,17,nan,nan,nan,nan
9,5,18,nan,nan,nan,nan
10,10,12,-1.0,-1.0,-1,-1
11,5,11,-1.0,-1.0,-1,-1
12,10,14,-1.0,-1.0,-1,-1
13,5,22,nan,nan,nan,nan
14,10,21,nan,nan,nan,nan
15,5,17,nan,nan,nan,nan
16,10,3,-1.0,-1.0,-1.0,-1.0
17,5,17,nan,nan,nan,nan
18,10,18,nan,nan,nan,nan
19,5,18,nan,nan,nan,nan
20,10,18,nan,nan,nan,nan
1,5,13,nan,nan,nan,nan
2,10,15,nan,nan,nan,nan
3,5,17,nan,nan,nan,nan
4,10,18,nan,nan,nan,nan
5,5,20,nan,nan,nan,nan
6,10,19,nan,nan,nan,nan
1,5,12,nan,nan,nan,nan
2,100,15,-1.0,-1.0,-1,-1
3,5,10,-1.0,-1.0,-1,-1
4,100,17,-1.0,-1.0,-1,-1
5,5,16,nan,nan,nan,nan
1,5,9,nan,nan,nan,nan
